Identyfikator pracownika,Imię,Nazwisko,Data urodzenia,Numer telefonu,Identyfikator kontraktu,Uprawnienia do nadzoru,
0,KRZYSZTOF,MAZURKIEWICZ,7810493330, -1, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1,MARTYNA,SŁOWAKIEWICZ,5551206378, 0, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
2,MARIUSZ,WDOWIAK,5932857116, 0, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
3,PRZEMYSLAW,TATARA,6281331060, 0, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
4,DAWID,PODOLAK,8042320387, 0, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
5,MARIUSZ,ARABOWICZ,7292253008, 0, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
6,OLIWIA,ŻMUDA,7771640464, 0, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
7,IZABELA,KIJOWSKI,8571215626, 0, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
8,DOROTA,CZARNECKI,6722745523, 0, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
9,WERONIKA,RUMUŃSKI,84112342829, 0, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
10,KATARZYNA,HISZPAN,866746690, 0, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
11,DAWID,MACEDOŃSKI,6612356589, 1, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
12,WALDEMAR,TATAREK,721743631, 1, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
13,ARTUR,DĄBROWSKI,7232963696, 1, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
14,KRZYSZTOF,CHRUSZCZEWSKI,6961390299, 1, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
15,JAROSŁAW,POLESZCZUK,5972131131, 1, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
16,BARTOSZ,KRAWCZYK,5722790243, 1, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
17,BARTOSZ,BÖHM,59111966632, 1, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
18,JACEK,KURLANDT,6822905858, 1, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
19,OLIWIA,SZEWCZYK,735643561, 1, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
20,KAMIL,PODOLSKI,84111346362, 1, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
21,IZABELA,LITWINIUK,80112689687, 2, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
22,PATRYK,GÓRAL,8812964513, 2, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
23,PATRYK,RUSIN,6691238996, 2, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
24,TYTUS,ŻMUDZIN,6531261954, 2, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
25,MARIUSZ,BIAŁORUSKI,848848009, 2, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
26,ALICJA,UKRAINIEC,88122413320, 2, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
27,ALEKANDRA,HOLLAND,667786060, 2, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
28,BARBARA,SŁOWACKI,872322775, 2, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
29,GERARD,MOSKAL,74112697788, 2, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
30,KAROLINA,DUŃCZYK,7211017006, 2, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
31,ARTUR,SKIBA,7242728183, 3, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
32,KRYSTYNA,KAŁUŻA,7511889310, 3, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
33,KRZYSZTOF,TATARCZUK,8111936374, 3, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
34,TYTUS,GALICKI,8061741500, 3, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
35,JAROSŁAW,POLESKI,8810340733, 3, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
36,KAMILA,POLOK,731563278, 3, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
37,MARTYNA,GAWROŃSKI,8522546148, 3, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
38,PRZEMYSLAW,SOCHA,85111127330, 3, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
39,MICHAŁ,RUSIN,659390307, 3, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
40,ROZALIA,KURLANDT,697749312, 3, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
41,ROZALIA,ŻYDZIAK,7862446469, 4, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
42,JOLANTA,POLESKI,7681742646, 4, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
43,OLIWIER,SZWAJCAR,7911754911, 4, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
44,PRZEMYSLAW,KRAWCZYK,6382213125, 4, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
45,KRYSTYNA,KURUC,883596796, 4, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
46,KAMILA,MAZURKIEWICZ,8592325338, 4, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
47,MATEUSZ,ŻYDZIAK,8012413591, 4, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
48,ALICJA,DĄBROWSKI,6661752614, 4, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
49,MAREK,SIERADZKI,5512863576, 4, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
50,TOMASZ,MORAW,7572330084, 4, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
51,TYMON,MAZURKIEWICZ,7511476660, 5, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
