Identyfikator pracownika,Imię,Nazwisko,Data urodzenia,Telefon,Identyfikator kontraktu,Uprawnienia do nadzoru,Pesel
0,PIOTR,ŻMUDA,25.05.1970 00:00:00,919824158,781620879,UPRAWNIONY,83011191190
1,PATRYCJA,POLACZEK,10.01.1967 00:00:00,529746336,1192240809,NIEUPRAWNIONY,65101386106
2,ANETA,MICIUN,23.07.1976 00:00:00,855846300,1932637280,UPRAWNIONY,57041581567
3,ŁUKASZ,OLENDER,06.08.1987 00:00:00,955282750,1852374701,UPRAWNIONY,56082943417
4,JOLANTA,SAS,26.06.1956 00:00:00,238972216,869423017,NIEUPRAWNIONY,75101446773
5,AGATA,CHORWAT,16.11.1961 00:00:00,676704827,1178598275,UPRAWNIONY,70122554839
6,JACEK,MALINOWSKI,01.12.1961 00:00:00,116174400,372018833,NIEUPRAWNIONY,57121953399
7,DOMINIKA,PODGÓRSKI,22.03.1975 00:00:00,655859600,411882217,NIEUPRAWNIONY,89011372372
8,TOMASZ,TOPOLSKI,29.08.1987 00:00:00,310078217,378755306,UPRAWNIONY,79101532380
9,WALDEMAR,MAZUREK,02.08.1981 00:00:00,779857793,145560734,NIEUPRAWNIONY,83012839224
10,LAURA,DOBRUCKI,28.06.1977 00:00:00,789077698,337455082,UPRAWNIONY,87032041898
11,MARTYNA,ŻYDZIK,01.12.1957 00:00:00,826708321,421978707,UPRAWNIONY,85032836862
12,ALEKSANDER,KACZMAREK,28.07.1961 00:00:00,901228123,1592501434,UPRAWNIONY,67091076301
13,KAROLINA,WOŹNIAK,19.07.1968 00:00:00,468771704,1742773750,UPRAWNIONY,80020465812
14,JACEK,TURECKI,20.09.1981 00:00:00,413237228,2069339422,UPRAWNIONY,81113052101
15,DONALD,GÓRSKI,08.06.1988 00:00:00,661387166,1553745539,NIEUPRAWNIONY,84111936222
16,DOROTA,GÓRSKI,31.05.1974 00:00:00,359680587,2097290719,NIEUPRAWNIONY,71011854295
17,JACEK,SZWEDZIAK,03.01.1968 00:00:00,991682555,1801130857,NIEUPRAWNIONY,81020111884
18,MAREK,CZESKI,23.03.1973 00:00:00,541159794,1206505788,NIEUPRAWNIONY,58072991357
19,ARTUR,POLESKI,22.11.1990 00:00:00,988411178,597578548,NIEUPRAWNIONY,60101550262
20,MARTA,POLAKOWSKI,12.02.1966 00:00:00,806397204,1736356086,UPRAWNIONY,71100823303
21,GERARD,LANGE,30.08.1988 00:00:00,307607862,633078353,NIEUPRAWNIONY,81103047588
22,AGATA,RUSIN,28.07.1971 00:00:00,111404635,1462414622,UPRAWNIONY,57111602764
23,WOJCIECH,DUDEK,24.09.1959 00:00:00,922453492,1955800491,UPRAWNIONY,65082328539
24,JADWIGA,ŻMUDA,19.03.1957 00:00:00,335302591,107140161,NIEUPRAWNIONY,67012500667
25,ALICJA,TATARA,30.04.1958 00:00:00,595609016,641099628,NIEUPRAWNIONY,83082926472
26,ROZALIA,SAKSON,10.11.1986 00:00:00,566865491,2067743743,UPRAWNIONY,80011105361
27,MAREK,POLAKOWSKI,24.11.1979 00:00:00,162947967,1752312350,UPRAWNIONY,58052286954
28,JANUSZ,ARAB,04.06.1987 00:00:00,107897798,1217299104,NIEUPRAWNIONY,84121891726
29,GERARD,FOGIEL,22.09.1957 00:00:00,185396173,938165377,NIEUPRAWNIONY,55062656218
30,TOMASZ,TATARA,28.12.1971 00:00:00,697961905,113750381,UPRAWNIONY,83111657992
31,WERONIKA,BÖHM,29.04.1985 00:00:00,185512174,789059029,UPRAWNIONY,59031532650
32,JAKUB,TATARCZUK,13.11.1970 00:00:00,515966193,431733758,NIEUPRAWNIONY,62071332891
33,JOLANTA,LITWINIUK,13.03.1956 00:00:00,844492018,1134823580,UPRAWNIONY,63011313473
34,IZABELA,SZWED,07.07.1973 00:00:00,786677526,885589279,NIEUPRAWNIONY,58072013482
35,AGATA,SZWEDOWSKI,10.11.1974 00:00:00,239795095,1797958913,NIEUPRAWNIONY,70120827255
36,ANETA,SZULC,19.01.1977 00:00:00,988876758,897346631,UPRAWNIONY,80062162246
37,WERONIKA,DUDA,06.02.1955 00:00:00,738363904,481618730,NIEUPRAWNIONY,65111969285
